epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2136.67,1.12887,2.67581,0.99546,0.66505,0.4798,0.34605,0.27908,0.94936,1.88828,0.87109,0.000220789,0.000220789,0.000220789
2,4583.88,0.98167,1.50166,0.91429,0.69077,0.49327,0.3918,0.32893,0.89543,1.37652,0.86376,0.000413877,0.000413877,0.000413877
3,9488.04,0.95784,1.30005,0.90166,0.60489,0.5735,0.5058,0.43072,0.9138,1.07616,0.8495,0.000577616,0.000577616,0.000577616
4,11408.7,0.91575,1.16226,0.89371,0.7326,0.50185,0.5674,0.49102,0.8788,1.07393,0.8555,0.000534934,0.000534934,0.000534934
5,12894.5,0.89683,1.0498,0.89196,0.70951,0.56897,0.52609,0.46499,0.83527,0.85196,0.83973,0.000490912,0.000490912,0.000490912
6,14330.1,0.85941,0.89385,0.87237,0.69548,0.57641,0.54541,0.47775,0.84207,0.88819,0.83841,0.00044689,0.00044689,0.00044689
7,15763.6,0.83833,0.81236,0.86067,0.75868,0.66038,0.61721,0.5568,0.78823,0.72783,0.83278,0.000402868,0.000402868,0.000402868
8,18090.7,0.8139,0.7351,0.85858,0.76797,0.62998,0.62597,0.56514,0.75864,0.68203,0.82925,0.000358846,0.000358846,0.000358846
9,23213.3,0.79692,0.68121,0.85676,0.79059,0.64893,0.6346,0.57366,0.74012,0.64452,0.82597,0.000314824,0.000314824,0.000314824
10,27436.6,0.78181,0.63917,0.84757,0.81546,0.68532,0.716,0.66206,0.74128,0.59299,0.82516,0.000270802,0.000270802,0.000270802
