epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7295,2.18054,3.79414,3.75109,1.83597,0.00533,0.21622,0.00349,0.00236,0.00533,0.21622,0.00349,0.00226,1.76884,3.1372,3.58505,1.54388,4e-05,4e-05,4e-05
2,53.4207,1.53149,2.71511,3.38817,1.31667,0.006,0.24324,0.03019,0.01267,0.00733,0.2973,0.03415,0.02448,1.65773,2.75069,3.39725,1.2396,9.01e-05,9.01e-05,9.01e-05
3,79.9952,1.33178,2.26263,3.1099,1.13955,0.01333,0.54054,0.07044,0.04492,0.01333,0.54054,0.08209,0.05696,1.39282,2.11821,3.20459,1.12622,0.00012832,0.00012832,0.00012832
4,106.668,1.1604,1.7784,2.79911,1.02379,0.018,0.72973,0.26178,0.18025,0.01933,0.78378,0.26155,0.17204,1.35832,2.08296,3.11764,1.0559,0.00015466,0.00015466,0.00015466
5,133.666,1.10548,1.63602,2.49311,0.98828,0.01933,0.78378,0.34557,0.20241,0.02067,0.83784,0.33027,0.23393,1.40028,1.90999,3.1279,1.09825,0.00016912,0.00016912,0.00016912
6,268.776,1.11123,1.56915,2.24828,0.98465,0.02067,0.83784,0.36994,0.22442,0.02267,0.91892,0.34583,0.23755,1.32824,2.05472,3.11648,1.04865,0.0001717,0.0001717,0.0001717
7,295.283,1.08418,1.43708,2.15567,0.9719,0.022,0.89189,0.38495,0.23293,0.02267,0.91892,0.3586,0.26104,1.24786,2.13993,3.10865,1.02211,0.0001624,0.0001624,0.0001624
8,321.698,1.02484,1.38839,2.0072,0.96063,0.022,0.89189,0.3869,0.24759,0.02267,0.91892,0.36248,0.26954,1.24598,1.9126,3.08626,1.01932,0.00014122,0.00014122,0.00014122
9,348.1,1.05644,1.42019,1.91863,0.94877,0.022,0.89189,0.45242,0.28051,0.022,0.89189,0.41545,0.29793,1.22872,1.56272,3.05423,1.01122,0.00010816,0.00010816,0.00010816
10,374.547,1.00719,1.40896,1.79644,0.94969,0.022,0.89189,0.43806,0.2856,0.022,0.89189,0.41674,0.31034,1.21087,1.49928,3.03528,0.99968,6.322e-05,6.322e-05,6.322e-05
