epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.07,2.19218,3.74059,3.65252,1.75067,0.006,0.24324,0.00383,0.0021,0.00667,0.27027,0.00424,0.00221,1.86152,3.25692,3.60619,1.59116,4e-05,4e-05,4e-05
2,55.2738,1.81815,3.17815,3.47504,1.4397,0.008,0.32432,0.04238,0.02012,0.00733,0.2973,0.0404,0.02658,1.64594,3.09708,3.40583,1.2483,9.901e-05,9.901e-05,9.901e-05
3,85.1922,1.50413,2.49575,3.18876,1.17215,0.014,0.56757,0.13476,0.09446,0.01267,0.51351,0.13203,0.10263,1.36053,2.30788,3.25013,1.0914,0.000156832,0.000156832,0.000156832
4,112.368,1.40261,2.21201,2.96716,1.09029,0.01867,0.75676,0.26723,0.1919,0.01867,0.75676,0.26504,0.17143,1.26577,1.99395,3.18431,1.0398,0.000213466,0.000213466,0.000213466
5,139.773,1.30189,1.88791,2.56732,1.05817,0.02067,0.83784,0.33222,0.23723,0.02133,0.86486,0.35025,0.22107,1.21319,1.88014,3.12711,1.02615,0.000268912,0.000268912,0.000268912
6,167.731,1.23825,1.84418,2.19141,0.99922,0.022,0.89189,0.38753,0.27088,0.02133,0.86486,0.38221,0.24218,1.14916,1.75447,3.0911,1.02219,0.00032317,0.00032317,0.00032317
7,197.8,1.2458,1.69303,2.07275,1.04502,0.022,0.89189,0.42876,0.26568,0.02067,0.83784,0.36799,0.18174,1.22624,2.36002,3.09775,1.03603,0.00037624,0.00037624,0.00037624
8,227.627,1.16883,1.59636,1.82178,1.01867,0.022,0.89189,0.4279,0.26164,0.02067,0.83784,0.39302,0.26641,1.2248,2.14973,3.07586,1.03518,0.000428122,0.000428122,0.000428122
9,256.934,1.10549,1.52112,1.67668,0.97304,0.02333,0.94595,0.41595,0.28056,0.02133,0.86486,0.41841,0.2912,1.13931,1.7558,3.06143,0.98646,0.000478816,0.000478816,0.000478816
10,286.596,1.15586,1.51989,1.50893,1.00261,0.02267,0.91892,0.39898,0.26973,0.022,0.89189,0.43147,0.25661,1.14554,1.96794,3.02096,0.98059,0.000528322,0.000528322,0.000528322
11,316.031,1.16382,1.61245,1.43522,0.99591,0.022,0.89189,0.36211,0.25411,0.02067,0.83784,0.41434,0.25916,1.05274,2.15227,3.05873,0.9939,0.00057664,0.00057664,0.00057664
12,344.629,1.16561,1.51407,1.28987,0.99395,0.02267,0.91892,0.34827,0.25658,0.02067,0.83784,0.39428,0.2549,1.11303,2.07159,3.05631,1.015,0.00062377,0.00062377,0.00062377
13,375.979,1.12988,1.44138,1.19542,0.99192,0.022,0.89189,0.36315,0.2497,0.02,0.81081,0.40143,0.3042,1.19146,2.01604,2.99678,1.02923,0.000669712,0.000669712,0.000669712
14,406.592,1.06028,1.53174,1.17518,0.97005,0.022,0.89189,0.41568,0.27187,0.02067,0.83784,0.42391,0.34296,1.10977,1.78653,2.95062,1.01424,0.000714466,0.000714466,0.000714466
15,436.472,1.03083,1.40647,1.15707,0.98345,0.02267,0.91892,0.41046,0.2759,0.02133,0.86486,0.41176,0.32286,1.09065,1.61666,2.89543,0.96906,0.000758032,0.000758032,0.000758032
16,465.221,1.04466,1.38193,1.15806,0.98863,0.02333,0.94595,0.36132,0.26245,0.022,0.89189,0.35621,0.26892,1.00261,1.59857,2.84855,0.95936,0.00080041,0.00080041,0.00080041
17,497.92,1.06296,1.32668,1.15106,0.97937,0.02267,0.91892,0.26865,0.20066,0.02133,0.86486,0.2796,0.21319,0.9963,1.44639,2.92193,0.96104,0.0008416,0.0008416,0.0008416
18,528.648,1.04505,1.50735,1.07723,0.96376,0.02267,0.91892,0.23812,0.17669,0.02133,0.86486,0.24003,0.17482,0.9866,1.48346,2.92665,0.9784,0.000881602,0.000881602,0.000881602
