epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1624.18,1.85167,2.68679,3.01174,1.2406,0.01217,0.39933,0.32707,0.18995,0.01114,0.34271,0.28622,0.14349,1.53361,2.00215,3.4053,1.05406,0.000329588,0.000329588,0.000329588
2,3214.6,1.447,1.99553,1.39559,1.04763,0.7258,0.59275,0.59818,0.34041,0.69826,0.55103,0.53551,0.23715,1.41649,1.8305,1.35686,1.07,0.000619169,0.000619169,0.000619169
3,4791.82,1.36039,1.85684,1.20476,1.02172,0.72556,0.667,0.6045,0.3601,0.69663,0.63243,0.5579,0.26586,1.32485,1.73762,1.16227,1.02585,0.000864749,0.000864749,0.000864749
4,6638.59,1.31474,1.74995,1.10905,1.00683,0.65787,0.67771,0.72029,0.44266,0.636,0.65377,0.67279,0.31272,1.28001,1.67569,1.01497,1.00986,0.000802,0.000802,0.000802
5,8411.95,1.29318,1.71134,1.02005,1.0034,0.682,0.73948,0.76457,0.45243,0.65155,0.70547,0.71346,0.33277,1.27872,1.62482,0.92694,1.01631,0.000736,0.000736,0.000736
6,9862.99,1.25907,1.62715,1.02155,1.0199,0.7925,0.68192,0.75842,0.45302,0.75679,0.64852,0.70104,0.32297,1.27689,1.70186,0.93711,1.00599,0.00067,0.00067,0.00067
7,11309.9,1.23134,1.57237,0.92865,1.01139,0.84694,0.7479,0.80736,0.4861,0.81733,0.71851,0.76818,0.37387,1.24655,1.57057,0.83637,1.00498,0.000604,0.000604,0.000604
8,12755.2,1.21337,1.55996,0.86981,1.00186,0.79992,0.76847,0.80976,0.50119,0.80893,0.73942,0.78369,0.39722,1.21227,1.53386,0.78643,0.99279,0.000538,0.000538,0.000538
9,14647,1.18829,1.5087,0.82963,0.99003,0.80722,0.7571,0.80586,0.49162,0.77548,0.72455,0.76479,0.37151,1.2176,1.49885,0.76547,0.99182,0.000472,0.000472,0.000472
10,16746.4,1.17122,1.49384,0.79583,0.98703,0.79699,0.76679,0.81513,0.50527,0.78579,0.72259,0.77871,0.38624,1.21527,1.48778,0.75789,0.99574,0.000406,0.000406,0.000406
11,18325.9,1.14733,1.44442,0.76335,0.97772,0.85715,0.76771,0.82676,0.51122,0.82949,0.73681,0.78369,0.38073,1.20216,1.4866,0.73301,0.9896,0.00034,0.00034,0.00034
12,19858.3,1.12727,1.44576,0.74029,0.96904,0.8275,0.78577,0.8323,0.52359,0.78481,0.74551,0.78444,0.38878,1.18008,1.44765,0.70468,0.97998,0.000274,0.000274,0.000274
13,21574.6,1.1179,1.39217,0.71736,0.96239,0.8102,0.7962,0.8274,0.53242,0.7867,0.77101,0.80078,0.42175,1.15416,1.41832,0.68098,0.97033,0.000208,0.000208,0.000208
14,23037.5,1.0898,1.38291,0.70327,0.96013,0.84266,0.80246,0.85088,0.55507,0.81531,0.77479,0.81818,0.43084,1.13667,1.40001,0.66112,0.96673,0.000142,0.000142,0.000142
15,24496.5,1.06995,1.34817,0.67879,0.94954,0.84571,0.80243,0.85009,0.55646,0.82368,0.78004,0.82642,0.44134,1.12425,1.38406,0.65763,0.96276,7.6e-05,7.6e-05,7.6e-05
